step,loss,iter_time_sec,global_tokens_per_sec,cuda_memory_allocated_bytes,cuda_peak_memory_allocated_bytes,cuda_peak_memory_reserved_bytes
0,11.2357635498,340.360291,24.069,3468972032,11300569600,13193183232
1,11.0754489899,7.538149,1086.739,3468972032,11300569600,13193183232
2,10.9363889694,7.483783,1094.634,3468972032,11300569600,13193183232
3,10.8828353882,7.468993,1096.801,3468972032,11300569600,13193183232
4,10.7714385986,7.517601,1089.709,3468972032,11300569600,13193183232
5,10.6865177155,7.539644,1086.523,3468972032,11300569600,13193183232
6,10.3621292114,7.506353,1091.342,3468972032,11300569600,13193183232
7,10.1849098206,7.476068,1095.763,3468972032,11300569600,13193183232
8,10.0021600723,7.510948,1090.675,3468972032,11300569600,13193183232
9,9.9417800903,7.532183,1087.600,3468972032,11300569600,13193183232
10,9.4484786987,7.508231,1091.069,3468972032,11300569600,13193183232
11,9.0408725739,7.525683,1088.539,3468972032,11300569600,13193183232
12,8.7381162643,7.499772,1092.300,3468972032,11300569600,13193183232
13,8.6498889923,7.536757,1086.940,3468972032,11300569600,13193183232
14,8.2509460449,7.492435,1093.369,3468972032,11300569600,13193183232
15,8.3678951263,7.511846,1090.544,3468972032,11300569600,13193183232
16,8.4781599045,7.523178,1088.902,3468972032,11300569600,13193183232
17,8.1646862030,7.536927,1086.915,3468972032,11300569600,13193183232
18,7.8735132217,7.471438,1096.442,3468972032,11300569600,13193183232
19,7.8180518150,7.553134,1084.583,3468972032,11300569600,13193183232
20,7.9011926651,7.485639,1094.362,3468972032,11300569600,13193183232
21,7.6988039017,7.081702,1156.784,3468972032,11300569600,13193183232
22,7.7818470001,7.713858,1061.985,3468972032,11300569600,13193183232
23,7.3460845947,7.613821,1075.938,3468972032,11300569600,13193183232
24,7.5732307434,7.481411,1094.981,3468972032,11300569600,13193183232
25,7.3532443047,7.518572,1089.569,3468972032,11300569600,13193183232
26,7.4783730507,7.488785,1093.902,3468972032,11300569600,13193183232
27,7.4083232880,7.555515,1084.241,3468972032,11300569600,13193183232
28,7.0059843063,7.511174,1090.642,3468972032,11300569600,13193183232
29,6.8386135101,7.522092,1089.059,3468972032,11300569600,13193183232
30,7.3685741425,7.518141,1089.631,3468972032,11300569600,13193183232
31,7.1972417831,7.564011,1083.023,3468972032,11300569600,13193183232
32,7.5567703247,7.500822,1092.147,3468972032,11300569600,13193183232
33,7.2079401016,7.541072,1086.318,3468972032,11300569600,13193183232
34,7.1645998955,7.478973,1095.337,3468972032,11300569600,13193183232
35,7.0213146210,7.550779,1084.921,3468972032,11300569600,13193183232
36,7.3562231064,7.521172,1089.192,3468972032,11300569600,13193183232
37,7.1211667061,7.454809,1098.888,3468972032,11300569600,13193183232
38,7.0777950287,7.412308,1105.189,3468972032,11300569600,13193183232
39,7.0615253448,7.480505,1095.113,3468972032,11300569600,13193183232
40,7.1969814301,7.523345,1088.877,3468972032,11300569600,13193183232
41,7.1964917183,7.512910,1090.390,3468972032,11300569600,13193183232
42,7.5379819870,7.479335,1095.284,3468972032,11300569600,13193183232
43,7.0622305870,7.543299,1085.997,3468972032,11300569600,13193183232
44,7.3473730087,7.521194,1089.189,3468972032,11300569600,13193183232
45,6.9924430847,7.527382,1088.293,3468972032,11300569600,13193183232
46,7.2963776588,7.452032,1099.297,3468972032,11300569600,13193183232
47,7.2616424561,7.471382,1096.450,3468972032,11300569600,13193183232
48,7.1971139908,7.498506,1092.484,3468972032,11300569600,13193183232
49,6.9684171677,7.531332,1087.723,3468972032,11300569600,13193183232
50,7.2134099007,7.530523,1087.839,3468972032,11295769600,13193183232
51,7.1806869507,7.563969,1083.029,3468972032,11295769600,13193183232
52,7.2874169350,7.539385,1086.561,3468972032,11295769600,13193183232
53,7.0803904533,7.554707,1084.357,3468972032,11295769600,13193183232
54,7.0818595886,7.510402,1090.754,3468972032,11295769600,13193183232
55,7.0841455460,7.551723,1084.786,3468972032,11295769600,13193183232
56,7.0459733009,7.495851,1092.871,3468972032,11295769600,13193183232
57,6.9653968811,7.506961,1091.254,3468972032,11295769600,13193183232
58,6.7780094147,7.510167,1090.788,3468972032,11295769600,13193183232
59,6.9654684067,7.566356,1082.688,3468972032,11295769600,13193183232
60,7.0055212975,7.499128,1092.394,3468972032,11295769600,13193183232
61,6.9305000305,7.534241,1087.303,3468972032,11295769600,13193183232
62,6.9601821899,7.506336,1091.345,3468972032,11295769600,13193183232
63,6.8807387352,7.562397,1083.254,3468972032,11295769600,13193183232
64,7.0556249619,7.504207,1091.654,3468972032,11295769600,13193183232
65,6.8797998428,7.536496,1086.977,3468972032,11295769600,13193183232
66,7.0327372551,7.424915,1103.312,3468972032,11295769600,13193183232
67,6.8544483185,7.543400,1085.982,3468972032,11295769600,13193183232
68,7.0666894913,7.501881,1091.993,3468972032,11295769600,13193183232
69,6.6733407974,7.550445,1084.969,3468972032,11295769600,13193183232
70,6.8051609993,7.509891,1090.828,3468972032,11295769600,13193183232
71,6.7981977463,7.558846,1083.763,3468972032,11295769600,13193183232
72,6.8519067764,7.489070,1093.861,3468972032,11295769600,13193183232
73,6.8406057358,7.536736,1086.943,3468972032,11295769600,13193183232
74,6.9013428688,7.501857,1091.996,3468972032,11295769600,13193183232
75,6.8528776169,7.553802,1084.487,3468972032,11295769600,13193183232
76,7.5632181168,7.536720,1086.945,3468972032,11295769600,13193183232
77,6.8442406654,7.511442,1090.603,3468972032,11295769600,13193183232
78,6.9162015915,7.491547,1093.499,3468972032,11295769600,13193183232
79,6.8795137405,7.543816,1085.923,3468972032,11295769600,13193183232
80,7.1376991272,7.507198,1091.219,3468972032,11295769600,13193183232
81,6.7333912849,7.527467,1088.281,3468972032,11295769600,13193183232
82,6.9368224144,7.483662,1094.651,3468972032,11295769600,13193183232
83,6.5251317024,7.525353,1088.587,3468972032,11295769600,13193183232
84,6.7810139656,7.512794,1090.407,3468972032,11295769600,13193183232
85,6.7805271149,7.571796,1081.910,3468972032,11295769600,13193183232
86,6.6870517731,7.518276,1089.612,3468972032,11295769600,13193183232
87,6.7548861504,7.557989,1083.886,3468972032,11295769600,13193183232
88,6.7256698608,7.533221,1087.450,3468972032,11295769600,13193183232
89,6.9745826721,7.539717,1086.513,3468972032,11295769600,13193183232
90,6.7856941223,7.138614,1147.562,3468972032,11295769600,13193183232
91,6.8532195091,7.104140,1153.130,3468972032,11295769600,13193183232
92,6.5970859528,8.040496,1018.843,3468972032,11295769600,13193183232
93,6.5574975014,7.448752,1099.781,3468972032,11295769600,13193183232
