step,loss,iter_time_sec,global_tokens_per_sec,cuda_memory_allocated_bytes,cuda_peak_memory_allocated_bytes,cuda_peak_memory_reserved_bytes
0,11.2355518341,6.966635,1175.890,5269173248,8960694784,12115247104
1,11.0761928558,4.956267,1652.857,5270221824,8960694784,12115247104
2,10.9376382828,4.937347,1659.191,5269173248,8963070976,12115247104
3,10.8858242035,4.950141,1654.902,5269173248,8963070976,12115247104
4,10.7704792023,4.962453,1650.797,5269173248,8963070976,12115247104
5,10.6851034164,4.970284,1648.195,5269173248,8963070976,12115247104
6,10.3601398468,4.945567,1656.433,5269173248,8963070976,12115247104
7,10.1855773926,5.002760,1637.496,5269173248,8963070976,12115247104
8,10.0029544830,4.998958,1638.742,5269173248,8963070976,12115247104
9,9.9408931732,4.966435,1649.473,5269173248,8963070976,12115247104
10,9.4487342834,4.974101,1646.931,5269173248,8963070976,12115247104
11,9.0431022644,4.929819,1661.724,5269173248,8963070976,12115247104
12,8.7378749847,4.680964,1750.067,5269173248,8963070976,12115247104
13,8.6480426788,4.704419,1741.341,5269173248,8963070976,12115247104
14,8.2507572174,4.846631,1690.246,5269173248,8963070976,12115247104
15,8.3689765930,5.676075,1443.251,5269173248,8963070976,12115247104
16,8.4784193039,4.926357,1662.892,5269173248,8963070976,12115247104
17,8.1637725830,4.957569,1652.423,5269173248,8963070976,12115247104
18,7.8734855652,4.924037,1663.676,5269173248,8963070976,12115247104
19,7.8204298019,4.984913,1643.359,5269173248,8963070976,12115247104
20,7.9018678665,4.895897,1673.238,5269173248,8962382848,12115247104
21,7.6988887787,4.903232,1670.735,5269173248,8962382848,12115247104
22,7.7828526497,4.943898,1656.992,5269173248,8962382848,12115247104
23,7.3470778465,4.992147,1640.977,5269173248,8962382848,12115247104
24,7.5759286880,4.962920,1650.641,5269173248,8962382848,12115247104
25,7.3534340858,4.971863,1647.672,5269173248,8962382848,12115247104
26,7.4784898758,4.865713,1683.618,5269173248,8962382848,12115247104
27,7.4105596542,4.995875,1639.753,5269173248,8962382848,12115247104
28,7.0069470406,4.988423,1642.202,5269173248,8962382848,12115247104
